Xabsorbe: absorb
Xdeğer: worth
Xdeğin: mention
Xdeğiştir: modify
Xdeğiştirmek: change
Xdeğiştokuş: swap
Xdikkatealmak: consider
Xdikkatedeğer: notable
Xdil: tongue
Xdiz: knee
Xdizüstübilgisayar: laptop
Xdiğer: other
Xdiş: tooth
Xdişhekimi: dentist
Xdişi: female
Xdolaşmak: cruise
Xdolmakalem: pen
Xdomuzpastırması: bacon
Xdon: frost
Xdondurulmuş: frozen
Xdoz: dose
Xdoğa: nature
Xdoğal: neutral
Xdoğru: true
Xdoğrudan: direct
Xdoğrula: verify
Xdoğu: orient
Xdoğum: birth
Xdram: drama
Xdur: stand
Xduruşma: trial
Xdâhi: genius
Xdön: turn
Xdöndür: spin
Xdönem: term
Xdöngü: loop
Xdönme: twist
Xdövme: tattoo
Xdöşe: pave
Xdöşeme: slab
Xdükkan: shop
Xdünya: world
Xdürtü: urge
Xdürüm: wrap
Xdüz: flat
Xdüzelt: fix
Xdüzenle: sort
Xdüzenli: regular
Xdüzensizlik: disorder
Xdüğme: switch
Xdüğün: wedding
Xdüş: fall
Xdüşman: enemy
Xdüşünce: thought
Xdüşürmek: drop
Xdış: outer
Xdışmekan: outdoor
Xdıştan: outside
Xefsane: myth
Xegzoz: exhaust
Xeko: echo
Xel: hand
Xelbise: gown
Xeldeetm: acquire
Xeleştirmen: critic
Xelmas: diamond
Xelçantası: purse
Xemekliolmak: retire
Xeminolmak: ensure
Xempozeet: impose
Xendişe: worry
Xendüstri: industry
Xenerji: energy
Xeniyi: best
Xenjekteet: inject
Xenkaz: wreck
Xerişim: access
Xerkekkardeş: brother
Xerkekçocuk: boy
Xerken: early
Xet: meat
Xetik: ethics
Xetiket: tag
Xetrafında: around
Xev: home
Xevcilhayvan: pet
Xevrimgeçirmek: evolve
Xevsahibi: host
Xeğim: tilt
Xeğit: train
Xeğitimver: educate
Xeğlen: amused
Xeğlence: fun
Xeğlenceli: funny
Xeğri: curve
Xeş: wife
Xeşek: donkey
Xeşit: equal
Xeşsiz: unique
Xfakülte: faculty
Xfan: fan
Xfantezi: fantasy
Xfarketmek: notice
Xfarklılık: differ
Xfarkındaol: aware
Xfarzetmek: assume
Xfavori: favorite
Xfayda: utility
Xfederal: federal
Xfestival: festival
Xfigür: figure
Xfikir: opinion
Xfil: elephant
Xfildişi: ivory
Xfilm: movie
Xfiltre: filter
Xfirma: firm
Xfitness: fitness
Xflaş: flash
Xforum: forum
Xfotoğraf: photo
Xfırlatmak: throw
Xfırçala: brush
Xfırçalama: scrub
Xfırın: oven
Xfıstık: peanut
Xfısılda: whisper
Xgalaksi: galaxy
Xgaraj: garage
Xgarip: weird
Xgaz: gas
Xgeceyarısı: midnight
Xgel: come
Xgelenek: custom
Xgelincik: weasel
Xgeliş: thrive
Xgeliştir: improve
Xgeliştirmek: develop
Xgemi: vessel
Xgenel: general
Xgeniş: wide
Xgenişlet: enhance
Xgenişletmek: expand
Xgenişlik: width
Xgenç: young
Xgençlik: youth
Xgerial: undo
Xgeridön: return
Xgeridönüşüm: recycle
Xgeriyekalan: remain
Xgeriçekil: retreat
Xgerçek: truth
Xgerçekten: truly
Xgez: travel
Xgeç: pass
Xgeçerli: viable
Xgeçit: gate
Xgeçittöreni: parade
Xgeçmek: cross
Xgidipgetir: fetch
Xgir: enter
Xgiriş: input
Xgirişim: venture
Xgiysi: wear
Xgizlenmiş: hidden
Xgoril: gorilla
Xgururlu: proud
Xgöl: lake
Xgölet: pond
Xgölge: shadow
Xgönder: submit
Xgörev: task
Xgörkem: glory
Xgörmezdengel: ignore
Xgörsel: visual
Xgörünmek: appear
Xgörüntülemek: display
Xgörünüş: sight
Xgörüş: view
Xgöz: eye
Xgözboyamak: pitch
Xgözdengeçirmek: review
Xgözkırpmak: wink
Xgözlemlemek: observe
Xgöğüs: chest
Xgücüyetmek: afford
Xgül: rose
Xgülmek: laugh
Xgülümsemek: smile
Xgümüş: silver
Xgün: day
Xgünbatımı: sunset
Xgüncellemek: upgrade
Xgündelik: casual
Xgüney: south
Xgüneş: sun
Xgüneşli: sunny
Xgünlük: diary
Xgüreşmek: wrestle
Xgürültü: noise
Xgüvenli: safe
Xgüvenlik: security
Xgüvenmek: trust
Xgüvercin: pigeon
Xgüzel: nice
Xgüzellik: beauty
Xgüç: power
Xgüçlendirmek: empower
Xgüçlü: strong
Xhabersiz: unaware
Xhaftasonu: weekend
Xhafıza: memory
Xhakkında: about
Xhaksız: unfair
Xhalinegelmek: become
Xhalı: carpet
Xham: raw
Xhamster: hamster
Xhap: pill
Xhareket: move
Xhareketegeç: act
Xhariçtutmak: exclude
Xharç: tuition
Xhasat: harvest
Xhasta: sick
Xhastalık: illness
Xhastane: hospital
Xhata: mistake
Xhatırla: recall
Xhatırlat: remind
Xhava: weather
Xhavaalanı: airport
Xhayalet: ghost
Xhayati: vital
Xhayvanatbahçesi: zoo
Xhazır: ready
Xhazırlanmak: prepare
Xhedef: target
Xhediye: present
Xhemşire: nurse
Xherhangibiri: either
Xherzaman: always
Xhibeet: grant
Xhindistancevizi: coconut
Xhis: sense
Xhizmetçi: maid
Xhiçbiri: neither
Xhiçbirşey: nothing
Xhollandaca: dutch
Xhoşgeldin: welcome
Xhurda: scrap
Xhâla: still
Xhız: speed
Xifadeetmek: express
Xihmaletmek: neglect
Xihtisas: domain
Xihtiyaç: need
Xiki: two
Xikikere: twice
Xiknaetmek: convince
Xileri: toward
Xilerle: advance
Xilhamver: inspire
Xilişki: affair
Xilk: initial
Xinanç: faith
Xinanılmaz: insane
Xincinme: injury
Xinsanlar: people
Xinç: inch
Xinşaet: build
Xiptaletmek: cancel
Xistek: will
Xistekli: eager
Xisyancı: rebel
Xit: push
Xitaatetmek: obey
Xitirafet: admit
Xiyi: good
Xizinver: allow
Xiç: inner
Xiçer: involve
Xiçeri: inside
Xiçine: into
Xiçmek: drink
Xiçmekan: indoor
Xiğne: sting
Xiş: work
Xişaret: sign
Xişgücü: labor
Xişletme: business
Xjaguar: jaguar
Xjestyapmak: gesture
Xjöle: jelly
Xkaba: rude
Xkabak: pumpkin
Xkabarcık: bubble
Xkabin: cabin
Xkaburga: rib
Xkadın: woman
Xkafatası: skull
Xkafes: grid
Xkahverengi: brown
Xkaktüs: cactus
Xkalabalık: crowd
Xkaldır: remove
Xkalça: hip
Xkamyonet: van
Xkan: blood
Xkanat: wing
Xkanguru: kangaroo
Xkanıt: proof
Xkapalı: off
Xkapan: trap
Xkaplumbağa: turtle
Xkapüşon: hood
Xkapı: door
Xkapıçal: knock
Xkar: snow
Xkararvermek: decide
Xkardeş: sibling
Xkartal: eagle
Xkarıştır: shuffle
Xkarışık: mixed
Xkarışım: mixture
Xkarşılıklı: mutual
Xkarşısında: across
Xkarşıçıkmak: oppose
Xkas: muscle
Xkask: helmet
Xkasvetli: bleak
Xkasırga: tornado
Xkat: include
Xkatı: solid
Xkatıl: attend
Xkatılmak: join
Xkatır: mule
Xkay: slide
Xkayakyap: ski
Xkaybet: churn
Xkayma: glide
Xkayna: boil
Xkaynak: source
Xkayıp: miss
Xkayıt: record
Xkayıtolmak: enroll
Xkaz: goose
Xkaza: crash
Xkazan: win
Xkazanan: winner
Xkazanç: gain
Xkaç: flee
Xkaçmak: escape
Xkaçın: avoid
Xkağıt: paper
Xkağıthamuru: pulp
Xkaş: eyebrow
Xkaşla: roast
Xkaşlarınıçat: frown
Xkaşık: spoon
Xkediyavrusu: kitten
Xkek: muffin
Xkemer: belt
Xkenarboşluğu: margin
Xkendim: myself
Xkendiniadamak: devote
Xkereste: timber
Xkereviz: celery
Xketçap: ketchup
Xkeçi: goat
Xkeşfetmek: discover
Xkil: clay
Xkilit: rug
Xkilitaç: unlock
Xkir: dirt
Xkiracı: tenant
Xkirala: hire
Xkiraz: cherry
Xkit: kit
Xkişi: person
Xkod: code
Xkoklamak: sniff
Xkol: arm
Xkolayca: easily
Xkontroletmek: check
Xkonumlandırmak: situate
Xkonuşmak: talk
Xkopyalamak: copy
Xkorkmuş: afraid
Xkorkut: scare
Xkoru: protect
Xkoruma: guard
Xkot: jeans
Xkoy: put
Xkoç: coach
Xkoş: run
Xkrallık: kingdom
Xkullanılmış: used
Xkullanım: use
Xkullanışlı: useful
Xkullanışsız: useless
Xkulüp: club
Xkum: sand
Xkumaş: fabric
Xkumdantepe: dune
Xkumtaşı: grit
Xkur: setup
Xkurbağa: frog
Xkurtar: rescue
Xkurşun: bullet
Xkurşunkalem: pencil
Xkutup: pole
Xkutupsal: polar
Xkuzey: north
Xkuş: bird
Xkuşatma: siege
Xkâr: profit
Xkâtip: clerk
Xkök: stem
Xköpek: dog
Xköprü: bridge
Xköpük: foam
Xkör: blind
Xkötü: evil
Xköy: village
Xköylü: peasant
Xkültür: culture
Xküme: cluster
Xküp: cube
Xküre: sphere
Xkürek: paddle
Xkütüphane: library
Xküçük: small
Xkıdemli: senior
Xkıkırda: giggle
Xkıkırdama: chuckle
Xkılıç: sword
Xkıpırda: shove
Xkırbaç: whip
Xkırp: trim
Xkırpmak: clip
Xkırsal: rural
Xkırık: broken
Xkırılgan: fragile
Xkısa: short
Xkısabilgi: brief
Xkıskanç: jealous
Xkısır: vicious
Xkız: girl
Xkızarmak: blush
Xkızgın: mad
Xkızkardeş: sister
Xkızçocuk: daughter
Xkış: winter
Xlaboratuvar: lab
Xlatince: latin
Xlav: lava
Xlens: lens
Xleopar: leopard
Xlif: fiber
Xlimon: lemon
Xliste: list
Xlüks: luxury
Xlütfen: please
Xlütuf: grace
Xmaaş: wage
Xmadenipara: coin
Xmajör: major
Xmakas: scissors
Xmali: fiscal
Xmango: mango
Xmantık: logic
Xmanuel: manual
Xmasa: table
Xmaske: mask
Xmatris: matrix
Xmağara: cave
Xmekanik: mechanic
Xmektup: letter
Xmelodi: melody
Xmenzil: range
Xmenü: menu
Xmeraklı: curious
Xmerdivenler: stairs
Xmerhamet: mercy
Xmetal: metal
Xmeydanagel: emerge
Xmeydanokuma: defy
Xmeyvebahçesi: orchard
Xmeyvesuyu: juice
Xmeşe: oak
Xmeşgul: busy
Xmimik: mimic
Xminimum: minimum
Xminör: minor
Xmobil: mobile
Xmodel: model
Xmonitör: monitor
Xmotor: motor
Xmutlak: must
Xmuz: banana
Xmücevher: jewel
Xmüjde: gospel
Xmükemmel: perfect
Xmülk: property
Xmümkün: possible
Xmürettebat: crew
Xmütevazi: humble
Xmüze: museum
Xmüzik: music
Xmüşteri: client
Xmıknatıs: magnet
Xmısır: corn
Xmısırgevreği: cereal
Xnabız: pulse
Xne: what
Xnefesal: inhale
Xnefesnefese: gasp
Xneredeyse: barely
Xneresi: where
Xnezaman: when
Xneşe: joy
Xnokta: spot
Xnormal: normal
Xnot: note
Xnüfussayımı: census
Xnükleer: nuclear
Xoda: room
Xok: arrow
Xolanakvermek: enable
Xolağan: usual
Xolağandışı: unusual
Xoluşma: occur
Xoluştur: render
Xomuzsilk: shrug
Xon: ten
Xonayla: confirm
Xoniki: twelve
Xonyıl: decade
Xopera: opera
Xorgan: organ
Xorman: jungle
Xortalama: average
Xortayaçıkar: uncover
Xortayaçıkarmak: expose
Xotobüs: bus
Xoval: oval
Xoy: vote
Xoynamak: play
Xoyuk: hollow
Xoyuncak: toy
Xoyuncakbebek: doll
Xozon: ozone
Xpakt: pact
Xpalyaço: clown
Xpanda: panda
Xpanik: panic
Xpano: panel
Xpanter: panther
Xpapağan: parrot
Xparakazan: earn
Xpark: park
Xparla: glare
Xparlak: bright
Xparti: party
Xparça: piece
Xparçalanmak: crumble
Xparıltı: glow
Xpatla: burst
Xpatlat: snap
Xpaylaş: share
Xpazarlık: bargain
Xpelikan: pelican
Xpençe: claw
Xpeçete: napkin
Xpeşin: cash
Xpilot: pilot
Xpirinç: rice
Xpiyano: piano
Xpizza: pizza
Xpişmanlık: regret
Xplastik: plastic
Xpolis: police
Xpopüler: popular
Xposta: post
Xprogram: program
Xproje: project
Xpürüzsüz: smooth
Xradar: radar
Xraf: rack
Xrahatlama: relief
Xrampa: ramp
Xreddet: reject
Xreddetmek: deny
Xresim: picture
Xrisk: risk
Xritüel: ritual
Xrobot: robot
Xromantizm: romance
Xruh: spirit
Xrüya: dream
Xsaat: hour
Xsadece: only
Xsadık: loyal
Xsaflık: purity
Xsahil: coast
Xsahip: owner
Xsahipolmak: have
Xsahne: stage
Xsalata: salad
Xsaldırı: attack
Xsalon: salon
Xsanat: art
Xsanateseri: artwork
Xsanatçı: artist
Xsarı: yellow
Xsarımsak: garlic
Xsatoşi: satoshi
Xsatıcı: vendor
Xsatınalmak: purchase
Xsavaş: battle
Xsavaşçı: warrior
Xsayı: number
Xsaç: hair
Xsaçak: fringe
Xsağ: right
Xsağla: provide
Xsağlık: wealth
Xsegment: segment
Xselamver: salute
Xsele: saddle
Xseminer: seminar
Xsen: you
Xserbestbırak: release
Xseri: series
Xserin: cool
Xses: volume
Xseviye: level
Xseç: select
Xseçenek: option
Xseçkin: elite
Xseçmek: choose
Xsil: erase
Xsilah: weapon
Xsilahlı: armed
Xsinirli: angry
Xsiren: siren
Xsis: fog
Xslogan: slogan
Xsoda: soda
Xsokak: street
Xsol: left
Xsolar: solar
Xsomutlaştırmak: embody
Xson: final
Xsonaer: finish
Xsonraki: next
Xsonsuz: eternal
Xsonuç: result
Xsor: ask
Xsorgu: inquiry
Xsorun: problem
Xsos: sauce
Xsoğan: onion
Xsponsor: sponsor
Xspor: sport
Xsporsalonu: gym
Xsprey: spray
Xstabil: stable
Xstadyum: stadium
Xstereo: stereo
Xstrateji: strategy
Xsu: water
Xsuistimaletmek: abuse
Xsulukar: slush
Xsuç: guilt
Xsuçla: blame
Xsöyle: say
Xsüper: super
Xsüpürge: broom
Xsür: ride
Xsüratli: swift
Xsürdür: sustain
Xsüresidolmak: expire
Xsüreç: process
Xsürgün: exile
Xsürmek: drive
Xsürpriz: surprise
Xsürü: flock
Xsürüklenme: drift
Xsürünmek: crawl
Xsüslemek: decorate
Xsüslü: fancy
Xsüt: milk
Xsıfır: zero
Xsık: frequent
Xsıklıkla: often
Xsıkma: squeeze
Xsıkıcı: boring
Xsınav: quiz
Xsınır: limit
Xsıradan: ordinary
Xsırasında: during
Xsıvı: liquid
Xsıçrama: bounce
Xsığ: shallow
Xsığınak: bunker
Xsığırlar: cattle
Xtabanca: pistol
Xtad: taste
Xtadınıçıkar: enjoy
Xtahminetmek: predict
Xtahripetmek: destroy
Xtahıl: grain
Xtakipetmek: chase
Xtaklaatmak: tumble
Xtaklit: imitate
Xtakım: team
Xtakımelbise: suit
Xtank: tank
Xtanrıça: goddess
Xtanık: witness
Xtanımlamak: define
Xtarif: recipe
Xtartışma: debate
Xtartışmak: argue
Xtarçın: cinnamon
Xtasarım: design
Xtatlı: sweet
Xtatminolmak: satisfy
Xtavuk: hen
Xtavşan: rabbit
Xtaş: surge
Xtaşımak: carry
Xtebeşir: chalk
Xtehlike: hazard
Xteklifet: bid
Xtekrarla: repeat
Xtel: wire
Xtemel: basic
Xtenekekutu: can
Xtercihetmek: prefer
Xtereyağı: butter
Xterket: abandon
Xteslimet: deliver
Xtespitet: detect
Xtest: test
Xtezgâh: bench
Xteşekkür: thank
Xtip: type
Xton: tone
Xtonbalığı: tuna
Xtop: cannon
Xtopla: gather
Xtoplu: bulk
Xtoz: dust
Xtrafik: traffic
Xtransfer: transfer
Xtrend: trend
Xtur: round
Xtut: keep
Xtuval: canvas
Xtuz: salt
Xtuğla: brick
Xtökezle: stumble
Xtüfek: rifle
Xtükenmişlik: fatigue
Xtünel: tunnel
Xtüp: tube
Xtür: kind
Xtüretmek: derive
Xtütün: tobacco
Xtıkabasa: cram
Xtıkanıklık: clog
Xtıkaç: plug
Xtıklamak: click
Xtırmanmak: climb
Xulaş: arrive
Xunutmak: forget
Xutangaç: shy
Xuyandırmak: evoke
Xuyarı: alert
Xuygulamak: execute
Xuyu: sleep
Xuzat: extend
Xuzay: spaceuzakilekarışır
Xuzaylı: alien
Xuzaysal: spatial
Xuzun: limb
Xuzunluk: length
Xuç: fly
Xuçurtma: kite
Xuçurum: cliff
Xuçuş: flight
Xvahşi: wild
Xvarlık: asset
Xvarol: exist
Xvatandaş: citizen
Xversiyon: version
Xvideo: video
Xvinç: crane
Xvirüs: virus
Xvücut: body
Xvızıltı: buzz
Xyabanarısı: wasp
Xyakala: tackle
Xyakalamak: catch
Xyakalanmış: caught
Xyakın: near
Xyakında: soon
Xyakıt: fuel
Xyalancı: liar
Xyalnız: lonely
Xyan: side
Xyanlış: wrong
Xyansıt: reflect
Xyanıt: response
Xyapabilme: able
Xyardım: assist
Xyardımetmek: help
Xyargıç: judge
Xyarım: half
Xyarın: tomorrow
Xyarış: race
Xyas: grief
Xyasadışı: illegal
Xyasallaştır: enact
Xyatırmak: deposit
Xyatırım: invest
Xyavaş: slow
Xyavruköpek: puppy
Xyaygın: common
Xyayıl: spread
Xyaz: write
Xyazı: text
Xyağ: oil
Xyağmur: rain
Xyaş: age
Xyaşlı: elder
Xyeminetmek: swear
Xyenidenaçmak: reopen
Xyenidenbirleşmek: reunion
Xyenideninşaetmek: rebuild
Xyer: place
Xyerdeğiştir: replace
Xyerleşmek: settle
Xyerçekimi: gravity
Xyetenek: talent
Xyetenekli: capable
Xyeterli: enough
Xyetişkin: adult
Xyetiştir: fit
Xyeğen: nephew
Xyeşil: green
Xyokolmak: vanish
Xyol: pluck
Xyumurtla: spawn
Xyumuşak: soft
Xyut: swallow
Xyönetmek: govern
Xyönlendirmek: divert
Xyöntem: method
Xyörünge: orbit
Xyüce: supreme
Xyük: load
Xyüksek: high
Xyükseklik: height
Xyüksekses: loud
Xyün: wool
Xyürümeyebaşlayançocuk: toddler
Xyürüyüş: walk
Xyüz: swim
Xyüzey: surface
Xyüzyıl: century
Xyüzük: ring
Xyıka: flush
Xyıkama: wash
Xyıl: year
Xyılan: snake
Xyıllık: annual
Xyığın: mass
Xzar: dice
Xzararver: inflict
Xzayıf: slim
Xzebra: zebra
Xzenginleştir: enrich
Xzor: hard
Xzürafa: giraffe
Xzıplamak: jump
Xzırh: armor
Xçabalamak: struggle
Xçabuk: quick
Xçadır: tent
Xçakal: coyote
Xçalışma: exercise
Xçalıştırmak: employ
Xçamaşır: laundry
Xçanta: bag
Xçapa: anchor
Xçaresizlik: despair
Xçarp: slam
Xçatal: fork
Xçatı: roof
Xçatırtı: crunch
Xçaylak: rookie
Xçayır: meadow
Xçağ: era
Xçek: pull
Xçekirdek: core
Xçekiç: hammer
Xçelik: steel
Xçerçeve: frame
Xçevir: flip
Xçevrele: surround
Xçevrimiçi: online
Xçeyrek: quarter
Xçeşitli: various
Xçift: pair
Xçiftlik: ranch
Xçim: lawn
Xçimen: grass
Xçimento: cement
Xçirkin: ugly
Xçizgi: dash
Xçizmek: draw
Xçiçek: flower
Xçiçekaç: blossom
Xçocuk: kid
Xçocukbak: foster
Xçok: very
Xçoktan: already
Xçorap: sock
Xçorba: soup
Xçubuk: stick
Xçöl: desert
Xçömelmek: crouch
Xçömlek: pottery
Xçöp: trash
Xçöz: solve
Xçözüm: solution
Xçünkü: because
Xçıkar: omit
Xçıktı: output
Xçıkıntı: ridge
Xçıkış: exit
Xçıtır: crisp
Xödeme: payment
Xödül: trophy
Xödünçver: lend
Xöfke: fury
Xölçek: scale
Xölçer: gauge
Xölçüm: measure
Xölüm: demise
Xölümcül: fatal
Xön: front
Xöncelik: primary
Xöncü: pioneer
Xönde: ahead
Xönder: leader
Xönem: priority
Xöner: suggest
Xönle: prevent
Xöpücük: kiss
Xördek: duck
Xörgü: mesh
Xörnek: example
Xörtüsünüaç: unveil
Xörümcek: spider
Xöte: beyond
Xöv: praise
Xöz: essence
Xözel: special
Xözellik: feature
Xözgürlük: liberty
Xözür: apology
Xöğe: item
Xöğleyemeği: lunch
Xöğren: learn
Xöğrenci: student
Xöğret: teach
Xücret: fee
Xülke: country
Xüniforma: uniform
Xüniversitemezunu: bachelor
Xünlü: famous
Xüret: produce
Xürperti: shiver
Xüst: upper
Xüstesindengel: manage
Xüstünde: top
Xütü: iron
Xüye: member
Xüzerinde: above
Xüzerinden: over
Xüzerine: upon
Xüzerinegel: hover
Xüzgün: upset
Xüzüm: grape
Xüzüntü: sadness
Xüç: three
Xılık: warm
Xıslak: wet
Xıstakoz: lobster
Xışık: light
Xşaba: effort
Xşafak: dawn
Xşaft: shaft
Xşahin: hawk
Xşair: poet
Xşaka: joke
Xşampiyon: champion
Xşanslı: lucky
Xşapka: hat
Xşarap: wine
Xşarj: charge
Xşarkı: song
Xşarkısöyle: sing
Xşarkısözü: lyrics
Xşef: chef
Xşehir: town
Xşehriye: noodle
Xşeker: sugar
Xşema: scheme
Xşemsiye: umbrella
Xşen: merry
Xşerif: sheriff
Xşey: thing
Xşiddetli: drastic
Xşiir: poem
Xşimdi: now
Xşimdiki: current
Xşimşek: thunder
Xşirket: company
Xşok: shock
Xşu: that
Xşubat: february
Xşurup: syrup
Xşöhret: fame
Xşüphe: suspect
Xşımarmak: spoil
aciz: unable
aday: nominee
adres: address
ahbap: buddy
ahlaki: moral
aile: family
ajan: agent
akrep: scorpion
aksiyon: action
aktris: actress
akustik: acoustic
alan: area
alet: gadget
alev: flame
alfa: alpha
alkol: alcohol
amca: uncle
ampul: bulb
anahtar: key
anket: survey
anlam: mean
anne: mother
aptal: silly
araba: car
arka: behind
arktik: arctic
armut: pear
arz: supply
asit: acid
asker: soldier
asla: never
atak: strike
atlet: athlete
avlamak: hunt
avokado: avocado
ayak: foot
ayarlamak: adjust
ayna: mirror
azaltmak: reduce
azletmek: dismiss
baba: dad
bacak: leg
bagaj: luggage
bahar: spring
bakkal: grocery
balina: whale
balkon: balcony
baraka: shed
bardak: cup
bariz: obvious
basit: simple
bayan: lady
bayrak: flag
bebek: baby
beklemek: wait
bela: trouble
belge: document
belirsiz: obscure
benzer: similar
berbat: awful
beri: since
beslemek: feed
betimlemek: describe
beyin: brain
biber: pepper
biftek: steak
bilek: ankle
bilge: wise
bilim: science
biraz: little
birim: unit
birlikte: together
bisiklet: bicycle
biyoloji: biology
bluz: blouse
bobin: coil
boyun: neck
brokoli: broccoli
bufalo: buffalo
buhar: vapor
bulut: cloud
burun: nose
canavar: monster
casus: spy
ceket: jacket
cesur: brave
cevap: answer
ceviz: nut
ceza: penalty
cezbetmek: attract
cihaz: device
cilt: skin
daha: more
daire: circle
dakika: minute
dalga: wave
damlamak: drip
dans: dance
darbe: impact
dava: case
davranmak: behave
davul: drum
debriyaj: clutch
dedikodu: gossip
deli: crazy
demiryolu: rail
denemek: try
denge: balance
deniz: marine
dere: creek
derinlik: depth
ders: lecture
desteklemek: uphold
detay: detail
devasa: giant
devlet: state
devrim: reform
dijital: digital
dikkat: caution
dilek: wish
dilim: slice
dinamik: dynamic
dinozor: dinosaur
direnmek: resist
dirsek: elbow
diyagram: diagram
diyet: diet
dizel: diesel
dizin: index
doktor: doctor
domates: tomato
domuz: pig
donatmak: equip
dosya: file
duman: smoke
duraklamak: pause
duvar: wall
duygu: emotion
duyurmak: announce
edepsiz: nasty
edinmek: obtain
efsane: legend
egzotik: exotic
ejderha: dragon
ekim: october
eklemek: add
ekmek: bread
ekoloji: ecology
ekonomi: economy
ekran: screen
eksen: axis
ekstra: extra
elbise: dress
eldiven: glove
elektrik: electric
eleman: staff
elma: apple
emin: sure
emir: order
