Xabsorbe: absorb
Xbir: one
biraz: little
Xbirebir aynı: exact
Xbiriktirmek: collect(birim daha iyi)
birim: unit
Xbirinci: first
Xbirisi: someone
Xbir kaç: few
Xbir kere: once
Xbirleştir: merge
Xbirleştirmek: combine
birlikte: together
bisiklet: bicycle
biyoloji: biology
bluz: blouse
bobin: coil
Xbomba: bomb
Xbonus: bonus
Xborç: loan
Xborçal: borrow
Xbot: boat
boyun: neck
Xboyut: size (boyun daha iyi)
Xbozulmamış: intact
Xboş: empty
Xboş: vacant
Xboşanmak: divorce
Xboşluk: slot
Xboşluk: void
Xboşta: idle
Xboşvakit: leisure
brokoli: broccoli
Xbronz: bronze
Xbu: this
Xbu akşam: tonight
bufalo: buffalo
Xbugün: today
buhar: vapor
Xbul: find
Xbul: found
Xbulanıklaştır: blur
bulut: cloud
Xburger: burger
burun: nose
Xbuz: ice
Xbuğday: wheat
Xböbrek: kidney
Xböcek: insect
Xbölge: region
Xbölmek: divide
Xbölüm: chapter
Xbölüm: episode
Xbölüm: section
Xböyle: such
Xbüfe: cupboard
Xbütçe: budget
Xbütün: entire
Xbüyü: grow
Xbüyük: huge
Xbüyük: large
Xbüyük: magic
Xbüyüklük: vast
Xbüyükpatlama: blast
Xbırak: quit
Xbıçak: knife
Xbıçakağzı: blade
Xcam: glass
canavar: monster
Xcanlı: brisk
Xcanlı: live
Xcanlı: vibrant
Xcanlı: vivid
casus: spy
Xcaz: jazz
ceket: jacket
cesur: brave
Xcesur: daring
cevap: answer
ceviz: nut
Xceviz: walnut
ceza: penalty
cezbetmek: attract
cihaz: device
cilt: skin
Xcüce: dwarf
Xcümle: sentence
Xcümlegrubu: phrase
daha: more
Xdaha iyi: better
Xdaha sonra: later
Xdâhi: genius
daire: circle
dakika: minute
dalga: wave
Xdalgalanma: ripple
Xdalma: plunge (dalga ile cok benziyor)
Xdamga: stamp (dalga ile cok benziyor)
damlamak: drip
dans: dance
Xdar: narrow
darbe: impact
dava: case
Xdava: lawsuit
Xdavetet: invite
davranmak: behave
Xdavran: treat
Xdavranış: attitude
davul: drum
Xdağ: mountain
Xdağılım: scatter
debriyaj: clutch
dedikodu: gossip
deli: crazy
Xdelik: hole
Xdel: drill
demiryolu: rail
denemek: try
Xdenetim: audit
denge: balance
deniz: marine
Xdeniz: sea
dere: creek
Xdere: river
Xderece: degree
derinlik: depth
ders: lecture
Xders: lesson
desteklemek: uphold
detay: detail
Xdevamsız: absent
devasa: giant
Xdeve kuşu: ostrich
devlet: state
Xdevril: topple
devrim: reform
Xdevriye: patrol
Xdeğer: worth
Xdeğin: mention
Xdeğiştir: alter
Xdeğiştir: modify
Xdeğiştirmek: change
Xdeğiş tokuş: swap
dijital: digital
dikkat: caution
Xdikkat ealmak: consider
Xdikkat edeğer: notable
Xdil: language
Xdil: tongue
dilek: wish
dilim: slice
dinamik: dynamic
dinozor: dinosaur
direnmek: resist
dirsek: elbow
diyagram: diagram
diyet: diet
Xdiz: knee
dizel: diesel
dizin: index
Xdiz üstü bilgisayar: laptop
Xdiğer: another
Xdiğer: other
Xdiş: tooth
Xdiş hekimi: dentist
Xdişi: female
doktor: doctor
Xdolaşmak: cruise
Xdolma kalem: pen
domates: tomato
domuz: pig
Xdomuz pastırması: bacon
Xdon: frost
donatmak: equip
Xdondurulmuş: frozen
dosya: file
Xdoz: dose
Xdoğa: nature
Xdoğal: neutral
Xdoğru: correct
Xdoğru: true
Xdoğrudan: direct
Xdoğrula: verify
Xdoğu: east
Xdoğu: orient
Xdoğum: birth
Xdram: drama
duman: smoke
Xdur: stand
duraklamak: pause
Xduruşma: trial
duvar: wall
duygu: emotion
duyurmak: announce
Xdön: turn
Xdöndür: rotate
Xdöndür: spin
Xdönem: term
Xdöngü: cycle
Xdöngü: loop
Xdönme: twist
Xdövme: tattoo
Xdöşe: pave
Xdöşeme: slab
Xdükkan: shop
Xdünya: world
Xdürtü: impulse
Xdürtü: urge
Xdürüm: wrap
Xdüz: flat
Xdüzelt: fix
Xdüzenle: arrange
Xdüzenle: edit
Xdüzenle: install
Xdüzenle: sort
Xdüzenli: regular
Xdüzensizlik: disorder
Xdüğme: switch
Xdüğün: wedding
Xdüş: fall
Xdüşman: enemy
Xdüşünce: thought
Xdüşürmek: drop
Xdış: outer
Xdışmekan: outdoor
Xdıştan: outside
edepsiz: nasty
edinmek: obtain
efsane: legend
Xefsane: myth
egzotik: exotic
Xegzoz: exhaust
ejderha: dragon
ekim: october
eklemek: add
ekmek: bread
Xeko: echo
ekoloji: ecology
ekonomi: economy
ekran: screen
eksen: axis
ekstra: extra
Xel: hand
elbise: dress
Xelbise: gown
Xeldeetm: acquire
eldiven: glove
elektrik: electric
eleman: staff
Xeleştirmen: critic
elma: apple
Xelmas: diamond
Xel çantası: purse
Xemekli olmak: retire
emin: sure
Xeminolmak: ensure
emir: order
Xempoze et: impose
Xendişe: anxiety
Xendişe: worry
Xendüstri: industry
Xenerji: energy
engel: hurdle
Xen iyi: best
Xenjekte et: inject
enkaz: debris
Xenkaz: wreck
erimek: melt
Xerişim: access
erkek: man
Xerkek kardeş: brother
Xerkek çocuk: boy
Xerken: early
erozyon: erosion
eser: artefact
eski: old
Xet: meat
etek: skirt
Xetik: ethics(etek e benziyor)
etiket: label
Xetiket: tag
Xetrafında: around
Xev: home
Xevcilhayvan: pet
evlilik: marriage
evren: universe
Xevrim geçirmek: evolve
Xev sahibi: host
ezmek: crush
Xeğim: tilt
Xeğit: train
Xeğitimver: educate
Xeğlen: amused
Xeğlence: fun
Xeğlenceli: funny
Xeğri: curve
Xeş: wife
Xeşek: donkey
Xeşit: equal
Xeşsiz: genuine
Xeşsiz: unique
faiz: interest
Xfakülte: faculty
Xfan: fan
Xfantezi: fantasy
fare: mouse
Xfark etmek: notice
Xfarklılık: differ
Xfarkında ol: aware
Xfarz etmek: assume
fasulye: bean
Xfavori: favorite
fayda: benefit
Xfayda: utility
fazla: much
Xfederal: federal
fener: torch
Xfestival: festival
Xfigür: figure
fiil: verb
fikir: idea
Xfikir: opinion
Xfil: elephant
Xfil dişi: ivory
Xfilm: film
Xfilm: movie
Xfiltre: filter
Xfirma: firm
Xfitness: fitness
fiyat: price
fiziksel: physical
Xflaş: flash
folyo: foil
Xforum: forum
fosil: fossil
Xfotoğraf: photo
futbol: soccer
Xfırlatmak: throw
Xfırçala: brush
Xfırçalama: scrub
Xfırın: furnace
Xfırın: oven
Xfıstık: peanut
Xfısılda: whisper
Xgalaksi: galaxy
galeri: gallery
Xgaraj: garage
garip: awkward
Xgarip: weird
Xgaz: gas
gazi: veteran
gece: night
Xgece yarısı: midnight
gecikme: delay
gelecek: future
Xgelenek: custom(gelecek ile çok benziyor)
gelgit: tide
Xgelincik: weasel (gelir daha iyi)
gelir: income
Xgeliş: thrive
Xgeliştir: improve
Xgeliştirmek: develop
Xgel: come
gemi: ship
Xgemi: vessel
Xgenel: general
Xgeniş: wide
Xgenişlet: enhance
Xgenişletmek: expand
Xgenişlik: width
Xgenç: young
Xgençlik: youth
gerek: require
Xgeri al: undo
Xgeri dön: return
Xgeri dönüşüm: recycle
Xgeriye kalan: remain
Xgeri çekil: retreat
Xgerçek: actual
Xgerçek: real
Xgerçek: truth
Xgerçekten: truly
getir: bring
geyik: deer
Xgez: travel
gezegen: planet
gezi: trip
Xgeç: pass
Xgeçerli: valid
Xgeçerli: viable
Xgeçit: gate
Xgeçit töreni: parade
Xgeçmek: cross
Xgidip getir: fetch
Xgiriş: entry
Xgiriş: input
Xgirişim: venture
Xgir: enter
gitar: guitar
giysi: garment
Xgiysi: wear
gizem: mystery
Xgizlenmiş: hidden
gizli: secret
Xgoril: gorilla
grup: group
gurur: pride
Xgururlu: proud
Xgöl: lake
Xgölet: pond
Xgölge: shadow
Xgönder: submit
Xgörev: duty
Xgörev: task
Xgörkem: glory
Xgörmezdengel: ignore
Xgörsel: visual
Xgörünmek: appear
Xgörüntülemek: display
Xgörünüş: sight
Xgörüş: view
Xgöz: eye
Xgöz boyamak: pitch
Xgözden geçirmek: review
Xgöz kırpmak: wink
Xgözlemlemek: observe
Xgöğüs: chest
Xgücü yetmek: afford
Xgülmek: laugh
Xgül: rose
Xgülümsemek: smile
Xgümüş: silver
Xgün: day
Xgün batımı: sunset
Xgüncellemek: update
Xgüncellemek: upgrade
Xgündelik: casual
Xgüney: south
Xgüneş: sun
Xgüneşli: sunny
Xgünlük: diary
Xgüreşmek: wrestle
Xgürültü: noise
Xgüvenmek: rely
Xgüvenmek: trust
Xgüvenli: safe
Xgüvenlik: security
Xgüvercin: dove
Xgüvercin: pigeon
Xgüzel: nice
Xgüzellik: beauty
Xgüç: force
Xgüç: power
Xgüçlendirmek: empower
Xgüçlü: robust
Xgüçlü: strong
haberler: news
Xhabersiz: unaware
hafif: slight
Xhafta sonu: weekend
Xhafıza: memory
Xhakkında: about
Xhaksız: unfair
hala: aunt
Xhâla : still
Xhaline gelmek: become
Xhalı: carpet
Xham: raw
Xhamster: hamster
Xhap: pill
hapishane: prison
harcamak: spend
hareket: motion
Xhareket: move
Xhareketegeç: act
harika: great
Xhariçtutmak: exclude
harp: warfare
Xharç: tuition
Xhasat: harvest (hasta daha iyi)
hasta: ill
Xhasta: patient
Xhasta: sick
Xhastalık: disease
Xhastalık: illness
Xhastane: hospital
hata: error
Xhata: mistake
Xhatırla: recall
Xhatırlat: remind
Xhava: air (hata ile benzer)
Xhava: weather
Xhava alanı: airport
havuz: pool
Xhayalet: ghost(hayat daha iyi)
hayat: life
Xhayati: crucial
Xhayati: vital
hayvan: animal
Xhayvanat bahçesi: zoo
Xhazır: ready
Xhazırlanmak: prepare
hecelemek: spell
hedef: aim
Xhedef: target
hediye: gift
Xhediye: present
Xhemşire: nurse
hepsi: all
herhangi: any
Xherhangi biri: either
Xher zaman: always
hesap: account
hevesli: keen
heyecanlanmak: excite
Xhibe et: grant
hikaye: story
hindi: turkey
Xhindistan cevizi: coconut
Xhis: sense
hissetmek: feel
hizmet: service
Xhizmetçi: maid
Xhiçbiri: neither
Xhiçbir şey: nothing
hobi: hobby
hokey: hockey
Xhollandaca: dutch
homurtu: grunt
Xhoş geldin: welcome
hurda: junk
Xhurda: scrap
Xhız: speed
iddia: claim
Xifade etmek: express
ihanet: betray
Xihmal etmek: neglect
Xihtisas: domain(Arapça mı)
Xihtiyaç: need
Xiki: two
Xiki kere: twice
ikilem: dilemma
ikinci: second
ikiz: twin
Xikna etmek: convince
ileri: forward
Xileri: toward
Xilerle: advance
Xilham ver: inspire
Xilişki: affair
Xilk: initial
inanmak: believe
Xinanç: faith
Xinanılmaz: amazing
Xinanılmaz: insane
ince: slender
Xincinme: injury (mekmak mı yoksa incinme kelimesi mi)
inkar: denial
insan: human
Xinsanlar: people
Xinç: inch
Xinşa et: build
ipek: silk
Xiptal etmek: cancel
ipucu: hint
isim: name
istemek: want
Xistek: will
Xistekli: eager
istiridye: oyster
Xisyancı: rebel
Xit: push
Xitaat etmek: obey
itibar: dignity
Xitiraf et: admit
Xiyi: fine
Xiyi: good
izci: scout
izin: permit
Xizin ver: allow
izlemek: track
izole: isolate
Xiç: inner
Xiçer: involve
Xiçeri: inside
Xiçine: into
Xiçmek: drink
Xiçmekan: indoor
Xiğne: sting
Xiş: job
Xiş: work
Xişaret: sign
Xişgücü: labor
Xişletme: business
Xjaguar: jaguar
Xjest yapmak: gesture
jeton: token
Xjöle: jelly
kaba: rough
Xkaba: rude
Xkabak: pumpkin
Xkabarcık: bubble
kabile: tribe
Xkabin: cabin
kablo: cable
kabuk: shell
Xkaburga: rib
kadar: until
kadife: velvet
Xkadın: woman
kafa: head
Xkafatası: skull
kafes: cage
Xkafes: grid
kahraman: hero
kahve: coffee
Xkahve rengi: brown
Xkaktüs: cactus
kalmak: stay
Xkalabalık: crowd
Xkaldır: lift
Xkaldır: remove
kale: castle
kalite: quality
kalkan: shield
kalp: heart
Xkalça: hip
kamera: camera
kamp: camp
kamu: public
kamyonet: truck
Xkamyonet: van
Xkan: blood
kanal: canal
Xkanat: wing(kanalla çok benzer)
kanepe: couch
Xkanguru: kangaroo
kano: canoe
kanun: law
kanyon: canyon
Xkanıt: evidence
Xkanıt: proof
kaos: chaos
kapak: cover
Xkapalı: close
Xkapalı: off
Xkapan: trap (kapakla benziyor)
kaplan: tiger
Xkaplumbağa: tortoise
Xkaplumbağa: turtle
kaptan: captain
Xkapüşon: hood
Xkapı: door
Xkapı çal: knock
Xkar: snow
Xkarar vermek: decide
karbon: carbon
Xkardeş: sibling
kare: square
kargo: cargo
karides: shrimp
karma: hybrid
kart: card
Xkartal: eagle
Xkarıştır: shuffle
Xkarışık: mixed
Xkarışım: mix
Xkarışım: mixture
Xkarşılıklı: mutual
Xkarşısında: across
Xkarşı çıkmak: oppose
Xkas: muscle
kasa: vault
Xkask: helmet (Kasa ile benzer)
kasvet: gloom
Xkasvetli: bleak
Xkasırga: tornado
Xkat: include
katalog: catalog
kategori: category
Xkâtip: clerk
katlamak: fold
katman: layer
Xkatı: rigid
Xkatı: solid
Xkatıl: agree
Xkatıl: attend
Xkatılmak: join
Xkatır: mule
kavanoz: jar
Xkay: slide
Xkayak yap: ski
Xkaybet: churn (kaydet daha iyi)
kaydetmek: save
kaykay: skate
Xkayma: glide (kaynak daha iyi)
Xkayna: boil
kaynak: resource
Xkaynak: source
Xkayıp: miss
Xkayıt: enlist
Xkayıt: record
Xkayıt olmak: enroll
Xkaz: goose
kaza: accident
Xkaza: crash
Xkazan: win
Xkazanan: winner
Xkazanç: gain
Xkaç: flee
Xkaçmak: escape
Xkaçın: avoid
Xkağıt: paper
Xkağıt hamuru: pulp
Xkaş: eyebrow
Xkaşla: roast
Xkaşlarınıçat: frown
Xkaşık: spoon
kedi: cat
Xkedi yavrusu: kitten
Xkek: cake
Xkek: muffin
kelime: word
keman: violin
kemer: arch
Xkemer: belt
kemik: bone
kenar: edge
Xkenar boşluğu: margin
kendi: own
Xkendim: myself
kentsel: urban
kereste: lumber
Xkereste: timber
Xkereviz: celery
kertenkele: lizard
kesin: certain
Xketçap: ketchup
Xkeçi: goat
Xkeşfetmek: discover
kibrit: match
Xkil: clay
kilit: lock
Xkilit: rug
Xkilit aç: unlock
Xkir: dirt
kira: rent
Xkiracı: tenant
Xkirala: hire
Xkiraz: cherry
kirpi: hedgehog
Xkit: kit
kitap: book
kivi: kiwi
Xkişi: person
klinik: clinic
Xkırpmak: clip
koca: husband
Xkod: code
Xkoklamak: sniff (koku ile benzer)
koku: odor
Xkol: arm
kolay: easy
Xkolayca: easily
kolon: column
koltuk: seat
komik: comic
konak: mansion
konfor: comfort
kongre: congress
konser: concert
kontrol: control
Xkontrol etmek: check
konu: subject
Xkonumlandırmak: situate
Xkonuşmak: speak
Xkonuşmak: talk
Xkopyalamak: copy
koridor: aisle
Xkorkmuş: afraid
korku: horror
Xkorkut: scare
korna: horn
Xkoru: protect (korku ile benzer)
Xkoruma: guard
Xkot: jeans
Xkoy: put
Xkoç: coach
Xkoş: run
Xkrallık: kingdom
krater: crater
kredi: credit
krem: cream
kriket: cricket
kristal: crystal
kroki: sketch
kronik: chronic
kuantum: quantum
kucaklamak: embrace
kule: tower
Xçalıştırmak: employ
Xkullanım: usage
Xkullanılmış: used
Xkullanım: use
Xkullanışlı: useful
Xkullanışsız: useless
Xkulüp: club
Xkum: sand
kumarhane: casino
Xkumaş: cloth
Xkumaş: fabric
Xkumdan tepe: dune
Xkumtaşı: grit
Xkur: setup
kural: rule
Xkurbağa: frog
kurdele: ribbon
kurgu: fiction
kurs: course (kurt daha iyi)
kurt: wolf
Xkurtar: rescue
kuru: dry
Xkurşun: bullet
Xkurşun kalem: pencil
kutsamak: bless
kutu: box
Xkutup: pole
Xkutupsal: polar
kuyruk: tail
kuzen: cousin
Xkuzey: north (kuzen daha iyi)
kuzgun: raven
Xkuş: bird
Xkuşatma: siege
Xkâr: profit
Xkök: stem
Xköpek: dog
Xköprü: bridge
Xköpük: foam
Xkör: blind
Xkötü: evil
Xköy: village
Xköylü: peasant
Xkültür: culture
Xküme: cluster
Xküp: cube
Xküre: globe
Xküre: sphere
Xkürek: paddle
Xkütüphane: library
Xküçük: junior
Xküçük: small
Xkıdemli: senior
Xkıkırda: giggle
Xkıkırdama: chuckle
Xkılıç: sword
Xkıpırda: shove
Xkırbaç: whip
Xkırp: trim
Xkırsal: rural
Xkırık: broken
Xkırılgan: fragile
Xkısa: short
Xkısabilgi: brief
Xkıskanç: jealous
Xkısır: vicious
Xkız: girl
Xkızarmak: blush
Xkızgın: mad
Xkız kardeş: sister
Xkız çocuk: daughter
Xkış: winter
labirent: maze
Xlaboratuvar: lab
lahana: cabbage
lamba: lamp
lastik: rubber
Xlatince: latin
Xlav: lava
Xlens: lens
Xleopar: leopard
lezzet: flavor
Xlif: fiber
liman: harbor
Xlimon: lemon
lisans: license
Xliste: list
liyakat: merit
Xlüks: luxury
Xlütfen: please
Xlütuf: grace
Xmaaş: wage
madalya: medal
madde: matter
Xmadeni para: coin
mahkum: inmate
mahsul: crop
Xmajör: major
makale: essay
Xmakas: scissors
makine: machine
maksimum: maximum
Xmali: fiscal (maliyet daha iyi)
maliyet: cost
malzeme: material
Xmango: mango
mantar: mushroom
Xmantık: logic
Xmanuel: manual
marka: brand
mart: march
masa: desk
Xmasa: table
Xmaske: mask
masum: innocent
matematik: math
Xmatris: matrix
mavi: blue
maymun: monkey
mazeret: excuse
Xmağara: cave
mecbur: oblige
medya: media
mekan: venue
Xmekanik: mechanic
mektup: envelope
Xmektup: letter
Xmelodi: melody
meltem: breeze
memeli: mammal
memnun: glad
mendil: tissue
Xmenzil: range
Xmenü: menu
merak: wonder
Xmeraklı: curious
mercan: coral
merdiven: ladder
Xmerdivenler: stairs
merhaba: hello
Xmerhamet: mercy
merkez: hub
mermer: marble
mesafe: distance
mesaj: message
Xmetal: metal
metro: subway
Xmeydana gel: emerge
Xmeydan okuma: defy
meyve: fruit
Xmeyve bahçesi: orchard
Xmeyve suyu: juice
Xmeşe: oak
Xmeşgul: busy
mide: stomach
midilli: pony
miktar: amount
milletvekili: deputy
milyon: million
Xmimik: mimic
minder: cushion
minik: tiny
Xminimum: minimum
Xminör: minor
miras: inherit
mizah: humor
Xmobil: mobile
moda: fashion
Xmodel: model
Xmonitör: monitor
motor: bike
Xmotor: engine
Xmotor: motor
muazzam: immense
mucize: miracle
mutfak: kitchen
Xmutlak: must
mutlu: happy
mutsuz: unhappy
Xmuz: banana
Xmücevher: jewel
Xmüjde: gospel
Xmükemmel: awesome
Xmükemmel: perfect
Xmülk: estate
Xmülk: property
Xmümkün: possible
Xmürettebat: crew
Xmütevazi: humble
Xmüze: museum
Xmüzik: music
Xmüşteri: client
Xmıknatıs: magnet
Xmısır: corn
Xmısır gevreği: cereal
Xnabız: pulse
nadir: rare
naif: naive
nazik: gentle
Xne: what
neden: cause
Xnefes al: inhale
Xnefes nefese: gasp
nemli: damp
neredeyse: almost
Xneredeyse: barely
Xneresi: where
nesne: object
Xne zaman: when
Xneşe: joy
nisan: april
nokta: point
Xnokta: spot
Xnormal: normal
nostaljik: vintage
Xnot: note
numara: trick
numune: sample
Xnüfus sayımı: census
Xnükleer: nuclear
ocak: stove
Xoda: focus
Xoda: room
odun: wood
ofis: office
Xok: arrow
oksijen: oxygen
okul: school
okyanus: ocean
Xolanak vermek: enable
Xolağan: usual
Xolağandışı: unusual
olimpik: olympic
olumsuz: negative
Xoluşma: occur
Xoluştur: render
omuz: shoulder
Xomuz silk: shrug
Xon: ten
onarmak: repair
onaylamak: approve
Xonayla: endorse
Xonayla: confirm
Xon iki: twelve
onlar: they
Xon yıl: decade
Xopera: opera
orada: there
oran: rate
ordu: army
Xorgan: organ (orman daha iyi)
orijinal: original
orman: forest
Xorman: jungle
orta: middle
Xortalama: average
Xortaya çıkar: reveal
Xortaya çıkar: uncover
Xortaya çıkarmak: expose
otel: hotel
Xotobüs: bus
otomobil: auto
oturum: session
Xoval: oval
Xoy: vote
Xoynamak: play (oyun ile karıstırılır. Oyun daha iyi)
Xoyuk: hollow (oyun daha iyi)
oyun: game
Xoyuncak: toy
Xoyuncak bebek: doll
Xozon: ozone
paket: bundle
Xpakt: pact (paket ile karışır)
palmiye: palm
Xpalyaço: clown
pamuk: cotton
Xpanda: panda
Xpanik: panic
pano: board
Xpano: panel
Xpanter: panther
Xpapağan: parrot
Xpara kazan: earn
parantez: bracket
Xpark: park
Xparla: shine (parlak daha iyi)
Xparlak: bright (parmak ile karışır. Parmak daha iyi.)
Xparla: glare
parmak: finger
Xparti: party
Xparça: piece
Xparçalanmak: crumble
Xparıltı: glow
patates: potato
patern: pattern
Xpatla: burst (patlama daha iyi)
patlamamak: erupt
Xpatlat: snap
patron: boss
Xpaylaş: share
pazar: market
Xpazarlık: bargain
Xpelikan: pelican
pembe: pink
pencere: window
Xpençe: claw
perde: curtain
peynir: cheese
Xpeçete: napkin
Xpeşin: cash
piknik: picnic
Xpilot: pilot
pipo: pipe
piramit: pyramid
Xpirinç: brass
Xpirinç: rice
pist: runway
piyango: lottery
Xpiyano: piano
Xpizza: pizza
Xpişmanlık: regret
plaka: plate
Xplastik: plastic
Xpolis: police
Xpopüler: popular
porsiyon: portion
portakal: orange
Xposta: mail (post var iniglizce kelimelerde)
Xposta: post
pozisyon: position
pratik: practice
Xprogram: program
Xproje: project
puding: pudding
pudra: powder
puro: cigar
Xpürüzsüz: smooth
Xradar: radar
radyo: radio
Xraf: rack
rahatlamak: relax
Xrahatlama: relief
rakip: rival
rakun: raccoon
ralli: rally
Xrampa: ramp
rapor: report
rastgele: random
reddetmek: refuse
Xreddet: reject
Xreddetmek: decline
Xreddetmek: deny
rehber: guide
rehin: pledge
renk: color
resim: image
Xresim: picture
Xrisk: risk
ritim: rhythm
Xritüel: ritual
Xrobot: robot
roket: rocket
roman: novel
Xromantizm: romance
rota: route
rozet: badge
Xruh: soul
Xruh: spirit
Xrüya: dream
saat: clock
Xsaat: hour
sabah: morning
sabun: soap
sadece: just
Xsadece: only
Xsadık: loyal
Xsaflık: purity
sahil: beach
Xsahil: coast
Xsahip: owner
Xsahip olmak: have
sahne: scene
Xsahne: stage
sakin: calm
Xsalata: salad
Xsaldırı: assault
Xsaldırı: attack
sallanmak: swing
Xsalon: lounge (salon ingilizcede var )
Xsalon: salon
sanal: virtual
Xsanat: art
Xsanat eseri: artwork
Xsanatçı: artist
sandalye: chair
saray: palace
Xsarı: yellow
Xsarımsak: garlic
satmak: sell
Xsatoşi: satoshi
Xsatıcı: vendor
Xsatın almak: purchase
Xsavaş: battle
Xsavaşçı: warrior
savunma: defense
sayfa: page
Xsayı: number
Xsaç: hair
Xsaçak: fringe
Xsağ: right
Xsağla: provide
Xsağlık: health
Xsağlık: wealth
sebep: reason
sefalet: misery
Xsegment: segment
sekiz: eight
Xselam ver: salute
Xsele: saddle (sepet daha iyi)
sembol: symbol
Xseminer: seminar
semptop: symptom
Xsen: you
senaryo: script
sepet: basket
Xserbest bırak: release
sergi: exhibit
Xseri: series
Xserin: cool (series ile aynı)
sersem: dumb
sert: harsh
servet: fortune
Xses: sound
Xses: voice
Xses: volume
sessiz: silent
sevimli: cute
Xseviye: level
seyahat: journey
sezon: season
Xseç: select
Xseçenek: choice
Xseçenek: option
Xseçkin: elite
Xseçmek: choose
silah: gun
Xsilah: weapon
