abandon: terk et
ability: yetenek
chunk: yığın
churn: kaybet
cigar: puro
cinnamon: tarçın
circle: daire
citizen: vatandaş
city: şehir
civil: sivil
claim: iddia
clap: alkış
clarify: açıklamak
claw: pençe
clay: kil
clean: temiz
clerk: katip
clever: akıllı
click: tıklamak
client: müşteri
cliff: uçurum
climb: tırmanmak
clinic: klinik
clip: klips
clock: saat
clog: tıkanıklık
close: kapalı
cloth: kumaş
cloud: bulut
clown: palyaço
club: kulüp
clump: tortu
cluster: küme
clutch: debriyaj
coach: koç
coast: sahil
coconut: hindistan cevizi
code: kod
coffee: kahve
coil: bobin
coin: madeni para
collect: biriktirmek
color: renk
column: kolon
combine: birleştirmek
come: gelmek
comfort: konfor
comic: komik
common: yaygın
company: şirket
concert: konser
conduct: yönetmek
confirm: onaylamak
congress: kongre
connect: bağlamak
consider: dikkate almak
control: kontrol
convince: ikna etmek
cook: aşçı
cool: serin
copper: bakır
copy: kopyalamak
coral: mercan
core: çekirdek
corn: mısır
correct: doğru
cost: maliyet
cotton: pamuk
couch: kanepe
country: ülke
couple: çift
course: kurs
cousin: kuzen
cover: kapa
coyote: çakal
crack: çatırtı
cradle: beşik
craft: zanaat
cram: tıka basa
crane: vinç
crash: kaza
crater: krater
crawl: sürünmek
crazy: deli
cream: krem
credit: kredi
creek: dere
crew: mürettebat
cricket: kriket
crime: suç
crisp: çıtır
critic: eleştirmen
crop: mahsul
cross: geçmek
crouch: çömelmek
crowd: kalabalık
crucial: hayati
cruel: acımasız
cruise: dolaşmak
crumble: parçalanmak
crunch: çatırtı
crush: ezmek
cry: ağlamak
crystal: kristal
cube: küp
culture: kültür
cup: bardak
cupboard: büfe
curious: meraklı
current: şimdiki
curtain: perde
curve: eğri
cushion: minder
custom: gelenek
cute: sevimli
cycle: döngü
dad: baba
damage: zarar
damp: nemli
dance: dans
danger: tehlike
daring: cesur
dash: çizgi
daughter: kız çocuk
dawn: şafak
day: gün
deal: anlaşmak
debate: tartışma
debris: enkaz
decade: on yıl
december: aralık
decide: karar vermek
decline: reddetmek
decorate: süslemek
decrease: azaltmak
deer: geyik
defense: savunma
define: tanımlamak meydan okumak
defy: meydan okuma
degree: derece
delay: gecikme
deliver: teslim etmek
demand: talep etmek
demise: ölüm
denial: inkar
dentist: diş hekimi
deny: reddetmek
depart: ayrılış
depend: bağlı olmak
deposit: yatırmak
depth: derinlik
deputy: milletvekili
derive: türetmek
describe: betimlemek
desert: çöl
design: tasarım
desk: masa
despair: çaresizlik
destroy: tahrip etmek
detail: detay
detect: tespit etmek
develop: geliştirmek
device: cihaz
devote: adamak
diagram: diyagram
dial: aramak
diamond: elmas
diary: günlük
dice: zar
diesel: dizel
diet: diyet
differ: farklılık
digital: dijital
dignity: itibar
dilemma: ikilem
dinner: akşam yemeği
dinosaur: dinozor
direct: doğrudan
dirt: kir
disagree: aynı fikirde olmamak
discover: keşfetmek
disease: hastalık
dish: tabak
dismiss: azletmek
disorder: düzensizlik
display: görüntülemek
distance: mesafe
divert: yönlendirmek
divide: bölmek
divorce: boşanmak
dizzy: başı dönmek
doctor: doktor
document: belge
dog: köpek
doll: oyuncak bebek
dolphin: yunus
domain: ihtisas
donate: bağış yapmak
donkey: eşek
donor: bağışçı
door: kapı
dose: doz
double: çift
dove: güvercin
draft: taslak
dragon: ejderha
drama: drama
drastic: şiddetli
draw: çizmek
dream: rüya
dress: elbise
drift: sürüklenme
drill: delmek
drink: içmek
drip: damlamak
drive: sürmek
drop: düşürmek
drum: davul
dry: kurumak
duck: ördek
dumb: sersem
dune: kumdan tepe
during: sırasında
dust: toz
dutch: hollandaca
duty: görev
dwarf: cüce
dynamic: dinamik
eager: istekli
eagle: kartal
early: erken
earn: para kazan
earth: toprak
easily: kolayca
east: doğu
easy: kolay
echo: eko
ecology: ekoloji
economy: ekonomi
edge: kenar
edit: düzenle
educate: eğitim ver
effort: şaba
egg: yumurta
eight: sekiz
either: herhangi biri
elbow: dirsek
elder: yaşlı
electric: elektrik
elegant: zarif
element: öğe
elephant: fil
elevator: asansör
elite: seçkin
else: başka
embark: biniş
embody: somutlaştır
embrace: kucakla
emerge: meydana gel
emotion: duygu
employ: kullan
empower: güçlendir
empty: boş
enable: olanak ver
enact: yasallaştır
end: son
endless: sonsuz
endorse: onayla
enemy: düşman
energy: enerji
enforce: uygula
engage: angaje et
engine: motor
enhance: genişlet
enjoy: tadını çıkar
enlist: kayıt
enough: yeterli
enrich: zenginleştir
enroll: kayıt olmak
ensure: emin olmak
enter: girmek
entire: bütün
entry: giriş
envelope: mektup
episode: bölüm
equal: eşit
equip: donatmak
era: çağ
erase: silmek
erode: aşınmak
erosion: erozyon
error: hata
erupt: patlama
escape: kaçmak
essay: makale
essence: öz
estate: mülk
eternal: sonsuz
ethics: etik
evidence: kanıt
evil: kötü
evoke: uyandırmak
evolve: evrim geçirmek
exact: bire bir aynı
example: örnek
excess: aşırı
exchange: takas
excite: heyecanlanmak
exclude: hariç tutmak
excuse: mazeret
execute: uygulamak
exercise: çalışma
exhaust: egzoz
exhibit: sergilemek
exile: sürgün
exist: var olmak
exit: çıkış
exotic: egzotik
expand: genişletmek
expect: beklemek
expire: süresi dolmak
explain: açıklamak
expose: ortaya çıkarmak
express: ifade etmek
extend: uzatmak
extra: ekstra
eye: göz
eyebrow: kaş
fabric: kumaş
face: surat
faculty: fakülte
fade: sol
faint: bayıl
faith: inanç
fall: düş
false: yanlış
fame: şöhret
family: aile
famous: ünlü
fan: fan
fancy: süslü
fantasy: fantezi
farm: çiftlik
fashion: moda
fat: yağ
fatal: ölümcül
father: baba
fatigue: tükenmişlik
fault: arıza
favorite: favori
feature: özellik
february: şubat
federal: federal
fee: ücret
feed: besle
feel: hisset
female: dişi
fence: çift
festival: festival
fetch: gidip getir
fever: ateş
few: bir kaç
fiber: lif
fiction: kurgu
field: alan
figure: figür
file: dosya
film: film
filter: filtre
final: son
find: bul
fine: iyi
finger: parmak
finish: sona er
fire: ateş
firm: firma
first: birinci
fiscal: mali
fish: balık
fit: yetiştir
fitness: fitness
fix: düzelt
flag: bayrak
flame: alev
flash: flaş
flat: düz
flavor: lezzet
flee: kaç
flight: uçuş
flip: çevir
float: batmadan yüz
flock: sürü
floor: zemin
flower: çiçek
fluid: sıvı
flush: yıka
fly: uç
foam: köpük
focus: oda
fog: sis
foil: folyo
fold: katla
follow: takip et
food: yiyecek
foot: ayak
force: güç
forest: orman
forget: unut
fork: çatal
fortune: servet
forum: forum
forward: ileri
fossil: fosil
foster: bakmak
found: bul
fox: tilki
fragile: kırılgan
frame: çerçeve
frequent: sık
fresh: taze
friend: arkadaş
fringe: saçak
frog: kurbağa
front: ön
frost: don
frown: kaşlarını çat
frozen: dondurulmuş
fruit: meyve
fuel: yakıt
fun: eğlence
funny: eğlenceli
furnace: fırın
fury: öfke
future: gelecek
gadget: alet
gain: kazanç
galaxy: galaksi
gallery: galeri
game: oyun
gap: açıklık
garage: garaj
garbage: çöp
garden: bahçe
garlic: sarımsak
garment: giysi
gas: gaz
gasp: nefes nefese
gate: geçit
gather: topla
gauge: ölçer
gaze: bakış
general: genel
genius: dahi
genre: tür
gentle: nazik
genuine: eşsiz
gesture: jest yap
ghost: hayalet
giant: devasa
gift: hediye
giggle: kıkırda
ginger: zencefil
giraffe: zürafa
girl: kız
give: ver
glad: memnun
glance: bakış at
glare: parlama
glass: cam
glide: kayma
glimpse: bakış
globe: küre
gloom: kasvet
glory: görkem
glove: eldiven
glow: parıltı
glue: zamk
goat: keçi
goddess: tanrıça
gold: altın
good: iyi
goose: kaz
gorilla: goril
gospel: müjde
gossip: dedikodu
govern: yönetmek
gown: elbise
grab: yakala
grace: lütuf
grain: tahıl
grant: hibe et
grape: üzüm
grass: çimen
gravity: yer çekimi
great: harika
green: yeşil
grid: kafes
grief: yas
grit: kumtaşı
grocery: bakkal
group: grup
grow: büyü
grunt: homurtu
guard: koruma
guess: tahmin et
guide: rehber
guilt: suç
guitar: gitar
gun: silah
gym: spor salonu
habit: alışkanlık
hair: saç
half: yarım
hammer: çekiç
hamster: hamster
hand: el
happy: mutlu
harbor: liman
hard: zor
harsh: sert
harvest: hasat
hat: şapka
have: sahip ol
hawk: şahin
hazard: tehlike
head: kafa
health: sağlık
heart: kalp
heavy: ağır
hedgehog: kirpi
height: yükseklik
hello: merhaba
helmet: kask
help: yardım
hen: tavuk
hero: kahraman
hidden: gizlenmiş
high: yüksek
hill: tepe
hint: ipucu
hip: kalça
hire: kirala
history: tarih
hobby: hobi
hockey: hokey
hold: tut
hole: delik
holiday: tatil
hollow: oyuk
home: ev
honey: bal
hood: kapüşon
hope: umut
horn: korna
horror: korku
horse: at
hospital: hastane
host: ev sahibi
hotel: otel
hour: saat
hover: üzerine gel
hub: merkez
huge: büyük
human: insan
humble: mütevazi
humor: mizah
hundred: yüz
hungry: aç
hunt: avla
hurdle: engel
hurry: acele et
hurt: acıt
husband: koca
hybrid: karma
ice: buz
icon: simge
idea: fikir
identify: tanımla
idle: boşta
ignore: görmezden gel
ill: hasta
illegal: yasadışı
illness: hastalık
image: resim
imitate: taklit et
immense: muazzam
immune: bağışıklık
impact: darbe
impose: empoze et
improve: geliştir
impulse: dürtü
inch: inç
include: kat
income: gelir
increase: arttır
index: dizin
indicate: belirt
indoor: iç mekan
industry: endüstri
infant: bebek
inflict: zarar ver
inform: bilgi ver
inhale: nefes al
inherit: miras
initial: ilk
inject: enjekte et
injury: incinme
inmate: mahkum
inner: iç
innocent: masum
input: giriş
inquiry: sorgu
insane: inanılmaz
insect: böcek
inside: içeri
inspire: ilham ver
install: düzenle
intact: bozulmamış
interest: faiz
into: içine
invest: yatırım
invite: davet et
involve: içer
iron: ütü
island: ada
isolate: izole
issue: sorun
item: öğe
ivory: fildişi
jacket: ceket
jaguar: jaguar
jar: kavanoz
jazz: caz
jealous: kıskanç
jeans: kot
jelly: jöle
jewel: mücevher
job: iş
join: katıl
joke: şaka
journey: seyahat
joy: neşe
judge: yargıç
juice: meyve suyu
jump: zıpla
jungle: orman
junior: küçük
junk: hurda
just: sadece
kangaroo: kanguru
keen: hevesli
keep: tut
ketchup: ketçap
key: anahtar
kick: tekme at
kid: çocuk
kidney: böbrek
kind: tür
kingdom: krallık
kiss: öpücük
kit: kit
kitchen: mutfak
kite: uçurtma
kitten: kedi yavrusu
kiwi: kivi
knee: diz
knife: bıçak
knock: kapı çal
know: bil
lab: laboratuvar
label: etiket
labor: iş gücü
ladder: merdiven
lady: bayan
lake: göl
lamp: lamba
language: dil
laptop: dizüstü bilgisayar
large: büyük
later: daha sonra
latin: latince
laugh: gül
laundry: çamaşır
lava: lav
law: kanun
lawn: çim
lawsuit: dava
layer: katman
lazy: tembel
leader: önder
leaf: yaprak
learn: öğren
leave: ayrıl
lecture: ders
left: sol
leg: bacak
legal: yasal
legend: efsane
leisure: boş vakit
lemon: limon
lend: ödünç ver
length: uzunluk
lens: lens
leopard: leopar
lesson: ders
letter: mektup
level: seviye
liar: yalancı
liberty: özgürlük
library: kütüphane
license: lisans
life: hayat
lift: kaldır
light: ışık
like: beğen
limb: uzun
limit: sınır
link: bağlantı
lion: aslan
liquid: sıvı
list: liste
little: biraz
live: canlı
lizard: kertenkele
load: yük
loan: borç
lobster: ıstakoz
local: yerel
lock: kilit
logic: mantık
lonely: yalnız
long: uzun
loop: döngü
lottery: piyango
loud: yüksek ses
lounge: salon
love: aşk
loyal: sadık
lucky: şanslı
luggage: bagaj
lumber: kereste
lunar: ay yıldızı
lunch: öğle yemeği
luxury: lüks
lyrics: şarkı sözü
machine: makine
mad: kızgın
magic: büyük
magnet: mıknatıs
maid: hizmetçi
mail: posta
main: ana
major: majör
make: yap
mammal: memeli
man: erkek
manage: üstesinden gel
mandate: yetki
mango: mango
mansion: konak
manual: manuel
maple: akçaağaç
marble: mermer
march: mart
margin: kenar boşluğu
marine: deniz
market: pazar
marriage: evlilik
mask: maske
mass: yığın
master: usta
match: kibrit
material: malzeme
math: matematik
matrix: matris
matter: madde
maximum: maksimum
maze: labirent
meadow: çayır
mean: anlam
measure: ölçüm
meat: et
mechanic: mekanik
medal: madalya
media: medya
melody: melodi
melt: erit
member: üye
memory: hafıza
mention: değin
menu: menü
mercy: merhamet
merge: birleştir
merit: liyakat
merry: şen
mesh: örgü
message: mesaj
metal: metal
method: yöntem
middle: orta
midnight: gece yarısı
milk: süt
million: milyon
mimic: mimik
mind: akıl
minimum: minimum
minor: minör
minute: dakika
miracle: mucize
mirror: ayna
misery: sefalet
miss: kayıp
mistake: hata
mix: karışım
mixed: karışık
mixture: karışım
mobile: mobil
model: model
modify: değiştir
mom: anne
moment: an
monitor: monitör
monkey: maymun
monster: canavar
month: ay
moon: ay
moral: ahlaki
more: daha
morning: sabah
mosquito: sivrisinek
mother: anne
motion: hareket
motor: motor
mountain: dağ
mouse: fare
move: hareket
movie: film
much: fazla
muffin: kek
mule: katır
multiply: çarp
muscle: kas
museum: müze
mushroom: mantar
music: müzik
must: mutlak
mutual: karşılıklı
myself: kendim
mystery: gizem
myth: efsane
naive: naif
name: isim
napkin: peçete
narrow: dar
nasty: edepsiz
nation: ulus
nature: doğa
near: yakın
neck: boyun
need: ihtiyaç
negative: olumsuz
neglect: ihmal etmek
neither: hiçbiri
nephew: yeğen
nerve: sinir
nest: yuva
net: açık
network: ağ
neutral: doğal
never: asla
news: haberler
next: sonraki
nice: güzel
night: gece
noble: soylu
noise: gürültü
nominee: aday
noodle: şehriye
normal: normal
north: kuzey
nose: burun
notable: dikkate değer
note: not
nothing: hiçbir şey
notice: fark et
novel: roman
now: şimdi
nuclear: nükleer
number: sayı
nurse: hemşire
nut: ceviz
oak: meşe
obey: itaat
object: nesne
oblige: mecbur
obscure: belirsiz
observe: gözlemle
obtain: edin
obvious: bariz
occur: oluşma
ocean: okyanus
october: ekim
odor: koku
off: kapalı
offer: teklif
office: ofis
often: sıklıkla
oil: yağ
okay: tamam
old: eski
olive: zeytin
olympic: olimpik
omit: çıkar
once: bir kere
one: bir
onion: soğan
online: çevrimiçi
only: sadece
open: açık
opera: opera
opinion: fikir
oppose: karşı çık
option: seçenek
orange: portakal
orbit: yörünge
orchard: meyve bahçesi
order: emir
ordinary: sıradan
organ: organ
orient: doğu
original: orijinal
orphan: yetim
ostrich: devekuşu
other: diğer
outdoor: dış mekan
outer: dış
output: çıktı
outside: dıştan
oval: oval
oven: fırın
over: üzerinden
own: kendi
owner: sahip
oxygen: oksijen
oyster: istiridye
ozone: ozon
pact: pakt
paddle: kürek
page: sayfa
pair: çift
palace: saray
palm: palmiye
panda: panda
panel: pano
panic: panik
panther: panter
paper: kağıt
parade: geçit töreni
parent: aile
park: park
parrot: papağan
party: parti
pass: geç
patch: yama
path: yol
patient: hasta
patrol: devriye
pattern: patern
pause: durakla
pave: döşe
payment: ödeme
peace: barış
peanut: fıstık
pear: armut
peasant: köylü
pelican: pelikan
pen: dolma kalem
penalty: ceza
pencil: kurşun kalem
people: insanlar
pepper: biber
perfect: mükemmel
permit: izin
person: kişi
pet: evcil hayvan
phone: telefon
photo: fotoğraf
phrase: cümle grubu
physical: fiziksel
piano: piyano
picnic: piknik
picture: resim
piece: parça
pig: domuz
pigeon: güvercin
pill: hap
pilot: pilot
pink: pembe
pioneer: öncü
pipe: pipo
pistol: tabanca
pitch: göz boyama
pizza: pizza
place: yer
planet: gezegen
plastic: plastik
plate: plaka
play: oyna
please: lütfen
pledge: rehin
pluck: yolmak
plug: tıkaç
plunge: dalma
poem: şiir
poet: şair
point: nokta
polar: kutupsal
pole: kutup
police: polis
pond: gölet
pony: midilli
pool: havuz
popular: popüler
portion: porsiyon
position: pozisyon
possible: mümkün
post: posta
potato: patates
pottery: çömlek
poverty: yoksulluk
powder: pudra
power: güç
practice: pratik
praise: öv
predict: tahmin et
prefer: tercih et
prepare: hazırlan
present: hediye
pretty: tatlı
prevent: önle
price: fiyat
pride: gurur
primary: öncelik
print: bas
priority: önem
prison: hapishane
private: özel
prize: ödül
problem: sorun
process: süreç
produce: üret
profit: kâr
program: program
project: proje
promote: terfi
proof: kanıt
property: mülk
prosper: başar
protect: koru
proud: gururlu
provide: sağla
public: kamu
pudding: puding
pull: çek
pulp: kağıt hamuru
pulse: nabız
pumpkin: kabak
punch: yumruk
pupil: öğrenci
puppy: yavur köpek
purchase: satın al
purity: saflık
purpose: amaç
purse: el çantası
push: it
put: koy
puzzle: yapboz
pyramid: piramid
quality: kalite
quantum: kuantum
quarter: çeyrek
question: soru
quick: çabuk
quit: bırak
quiz: sınav
quote: alıntı
rabbit: tavşan
raccoon: rakun
race: yarış
rack: raf
radar: radar
radio: radyo
rail: demiryolu
rain: yağmur
raise: artır
rally: ralli
ramp: rampa
ranch: çiftlik
random: rastgele
range: menzil
rapid: ani
rare: nadir
rate: oran
rather: yerine
raven: kuzgun
raw: ham
razor: ustura
ready: hazır
real: gerçek
reason: sebep
rebel: isyancı
rebuild: yeniden inşa et
recall: hatırla
receive: al
recipe: tarif
record: kayıt
recycle: geri dönüşüm
reduce: azalt
reflect: yansıt
reform: devrim
refuse: reddet
region: bölge
regret: pişmalık
regular: düzenli
reject: reddet
relax: rahatla
release: serbest bırak
relief: rahatlama
rely: güven
remain: geriye kalan
remember: ahtırla
remind: hatırlat
remove: kaldır
render: oluştur
renew: yenile
rent: kira
reopen: yeniden aç
repair: onar
repeat: tekrarla
replace: yer değiştir
report: rapor
require: gerekme
rescue: kurtar
resemble: benze
resist: diren
resource: kaynak
response: yanıt
result: sonuç
retire: emekli ol
retreat: geri çekil
return: geri dön
reunion: yeniden birleşme
reveal: ortaya çıkar
review: gözden geçir
reward: ödül
rhythm: ritim
rib: kaburga
ribbon: kurdele
rice: pirinç
rich: zengin
ride: sür
ridge: çıkıntı
rifle: tüfek
right: sağ
rigid: katı
ring: yüzük
riot: ayaklanma
ripple: dalgalanma
risk: risk
ritual: ritüel
rival: rakip
river: dere
road: yol
roast: kaşla
robot: robot
robust: güçlü
rocket: roket
romance: romantizm
roof: çatı
rookie: çaylak
room: oda
rose: gül
rotate: döndür
rough: kaba
round: tur
route: rota
royal: asil
rubber: lastik
rude: kaba
rug: kilit
rule: kural
run: koş
runway: pist
rural: kırsal
sad: üzgün
saddle: sele
sadness: üzüntü
safe: güvenli
sail: yelken
salad: salata
salmon: somon
salon: salon
salt: tuz
salute: selam ver
same: aynı
sample: numune
sand: kum
satisfy: tatmin et
satoshi: satoşi
sauce: sos
sausage: sosis
save: kaydet
say: söyle
scale: ölçek
scan: tara
scare: korkut
scatter: dağılım
scene: sahne
scheme: şema
school: okul
science: bilim
scissors: makas
scorpion: akrep
scout: izci
scrap: hurda
screen: ekran
script: senaryo
scrub: fırçalama
sea: deniz
search: ara
season: sezon
seat: koltuk
second: ikinci
secret: gizli
section: bölüm
security: güvenlik
seed: tohum
seek: araştır
segment: segment
select: seç
sell: sat
seminar: seminer
senior: kıdemli
sense: his
sentence: cümle
series: seri
service: hizmet
session: oturum
settle: yerleş
setup: kur
seven: yedi
shadow: gölge
shaft: şaft
shallow: sığ
share: paylaş
shed: baraka
shell: kabuk
sheriff: şerif
shield: kalkan
shift: vardiya
shine: parla
ship: gemi
shiver: ürperti
shock: şok
shoe: ayakkabı
shoot: ateş et
shop: dükkan
short: kısa
shoulder: omuz
shove: kıpırda
shrimp: karides
shrug: omuz silk
shuffle: karıştır
shy: utangaç
sibling: kardeş
sick: hasta
side: yan
siege: kuşatma
sight: görünüş
sign: işaret
silent: sessiz
silk: ipek
silly: aptal
silver: gümüş
similar: benzer
simple: basit
since: beri
sing: şarkı söyle
siren: siren
sister: kız kardeş
situate: konumlandır
six: altı
size: boyut
skate: kaykay
sketch: kroki
ski: kayak yap
skill: yetenej
skin: cilt
skirt: etek
skull: kafatası
slab: döşeme
slam: çarp
sleep: uyu
slender: ince
slice: dilim
slide: kay
slight: hafif
slim: zayıf
slogan: slogan
slot: boşluk
slow: yavaş
slush: sulu kar
small: küçük
smart: akıllı
smile: gülümse
smoke: duman
smooth: pürüzsüz
snack: atıştırmalık
snake: yılan
snap: patlat
sniff: kokla
snow: kar
soap: sabun
soccer: futbol
social: sosyal
sock: çorap
soda: soda
soft: yumuşak
solar: solar
soldier: asker
solid: katı
solution: çözüm
solve: çöz
someone: birisi
song: şarkı
soon: yakında
sorry: üzgün
sort: düzenle
soul: ruh
sound: ses
soup: çorba
source: kaynak
south: güney
space: uzay
spare: ayrı
spatial: uzaysal
spawn: yumurtla
speak: konuş
special: özel
speed: hız
spell: hecele
spend: harca
sphere: küre
spice: baharat
spider: örümcek
spike: başak
spin: döndür
spirit: ruh
split: ayrıl
spoil: şımar
sponsor: sponsor
spoon: kaşık
sport: spor
spot: nokta
spray: sprey
spread: yayıl
spring: bahar
spy: casus
square: kare
squeeze: sıkm
squirrel: sincap
stable: stabil
stadium: stadyum
staff: eleman
stage: sahne
stairs: merdivenler
stamp: damga
stand: dur
start: başla
state: devlet
stay: kal
steak: biftek
steel: çelik
stem: kök
step: adım
stereo: stereo
stick: çubuk
still: hala(a şapkalı)
sting: iğne
stock: stok
stomach: mide
stone: taş
stool: tabure
story: hikaye
stove: ocak
strategy: strateji
street: sokak
strike: atak
strong: güçlü
struggle: çabala
student: öğrenci
stuff: şey
stumble: tökezle
style: stil
subject: konu
submit: gönder
subway: metro
success: başarı
such: böyle
sudden: ani
suffer: acı çek
sugar: şeker
suggest: öner
suit: takım elbise
summer: yaz
sun: güneş
sunny: güneşli
sunset: gün batımı
super: süper
supply: arz
supreme: yüce
sure: emin
surface: yüzey
surge: taş(mak)
surprise: sürpriz
surround: çevrele
survey: anket
suspect: şüphe
sustain: sürdür
swallow: yut
swamp: bataklık
swap: değiş tokuş
swarm: arı kümesi
swear: yemin et
sweet: tatlı
swift: süratli
swim: yüz
swing: sallan
switch: düğme
sword: kılıç
symbol: sembol
symptom: semptop
syrup: şurup
system: sistem
table: masa
tackle: yakala
tag: etiket
tail: kuyruk
talent: yetenek
talk: konuş
tank: tank
tape: teyip
target: hedef
task: görev
taste: tad
tattoo: dövme
taxi: taksi
teach: öğret
team: takım
tell: anlat
ten: on
tenant: kiracı
tennis: tenis
tent: çadır
term: dönem
test: test
text: yazı
thank: teşekkür
that: şu
theme: tema
then: sonra
theory: teori
there: orada
they: onlar
thing: şey
this: bu
thought: düşünce
three: üç
thrive: geliş
throw: fırlat
thumb: baş parmak
thunder: şimşek
ticket: bilet
tide: gelgit
tiger: kaplan
tilt: eğim
timber: kereste
time: zaman
tiny: minik
tip: bahşiş
tired: yorgun
tissue: mendil
title: başlık
toast: tost
tobacco: tütün
today: bugün
toddler: yürümeye başlayan çocuk
toe: baş parmak
together: birlikte
toilet: tuvalet
token: jeton
tomato: domates
tomorrow: yarın
